ensembl_id,id,network_centricity
ENSG00000151612,9378,True
ENSG00000140044,7876,True
ENSG00000174059,13509,True
ENSG00000157554,10062,True
ENSG00000070614,1123,True
ENSG00000139613,7808,True
ENSG00000160844,10481,True
ENSG00000172216,13139,True
ENSG00000203883,17492,True
ENSG00000136770,7291,True
ENSG00000129422,6108,True
ENSG00000141644,8116,True
ENSG00000101057,2427,True
ENSG00000198429,17113,True
ENSG00000018408,383,True
ENSG00000196628,16602,True
ENSG00000152284,9469,True
ENSG00000173039,13314,True
ENSG00000071246,1154,True
ENSG00000136826,7301,True
ENSG00000110851,3809,True
ENSG00000141027,8017,True
ENSG00000113916,4232,True
ENSG00000143079,8271,True
ENSG00000111145,3842,True
ENSG00000115935,4494,False
ENSG00000147676,8964,False
ENSG00000153140,9575,False
ENSG00000166436,11783,False
ENSG00000203791,17463,False
ENSG00000077264,1380,False
ENSG00000131037,6352,False
ENSG00000180573,14584,False
ENSG00000179476,14425,False
ENSG00000188917,16312,False
ENSG00000103540,2829,False
ENSG00000186472,15807,False
ENSG00000165271,11493,False
ENSG00000064205,877,False
ENSG00000144559,8538,False
ENSG00000113595,4197,False
ENSG00000198018,16999,False
ENSG00000196950,16692,False
ENSG00000142089,8160,False
ENSG00000106772,3346,False
ENSG00000103742,2846,False
ENSG00000109689,3685,False
ENSG00000160678,10451,False
ENSG00000153250,9591,False
ENSG00000184897,15425,False
ENSG00000166263,11736,False
ENSG00000165487,11537,False
ENSG00000130349,6226,False
ENSG00000166170,11711,False
ENSG00000027001,463,False
ENSG00000100031,2164,False
ENSG00000174791,13626,False
ENSG00000054392,729,False
ENSG00000204271,17580,False
ENSG00000137207,7391,False
ENSG00000143786,8427,False
ENSG00000116690,4591,False
ENSG00000185201,15506,False
ENSG00000102225,2642,False
ENSG00000020577,403,False
ENSG00000146143,8763,False
ENSG00000101353,2505,False
ENSG00000172594,13229,False
ENSG00000126947,5850,False
ENSG00000176125,13860,False
ENSG00000111452,3892,False
ENSG00000172803,13271,False
ENSG00000092758,1982,False
ENSG00000185345,15544,False
ENSG00000165795,11615,False
ENSG00000143222,8306,False
ENSG00000100568,2337,False
ENSG00000203392,17424,False
ENSG00000181029,14663,False
ENSG00000115425,4420,False
ENSG00000166839,11872,False
ENSG00000197302,16787,False
ENSG00000233822,19993,False
ENSG00000122687,5280,False
ENSG00000116785,4614,False
ENSG00000074582,1268,False
ENSG00000158427,10160,False
ENSG00000116679,4588,False
ENSG00000138459,7636,False
ENSG00000104824,2962,False
ENSG00000162736,10756,False
ENSG00000147889,8986,False
ENSG00000095397,2029,False
ENSG00000069849,1087,False
ENSG00000049656,668,False
ENSG00000196371,16516,False
ENSG00000179021,14349,False
ENSG00000106399,3292,False
ENSG00000163354,10918,False
ENSG00000177951,14179,False
ENSG00000188958,16317,False
ENSG00000106603,3320,False
ENSG00000014257,351,False
ENSG00000130066,6179,False
ENSG00000067048,994,False
ENSG00000162722,10748,False
ENSG00000162998,10824,False
ENSG00000138750,7686,False
ENSG00000144744,8570,False
ENSG00000158717,10202,False
ENSG00000135655,7086,False
ENSG00000124479,5508,False
ENSG00000162595,10708,False
ENSG00000125966,5742,False
ENSG00000133858,6762,False
ENSG00000050438,682,False
ENSG00000213658,18582,False
ENSG00000134602,6895,False
ENSG00000171345,12929,False
ENSG00000125124,5590,False
ENSG00000089154,1822,False
ENSG00000176055,13848,False
ENSG00000205236,17854,False
ENSG00000170270,12679,False
ENSG00000165240,11487,False
ENSG00000100319,2258,False
ENSG00000005893,111,False
ENSG00000167105,11944,False
ENSG00000188266,16168,False
ENSG00000204237,17571,False
ENSG00000133422,6719,False
ENSG00000084754,1642,False
ENSG00000173698,13448,False
ENSG00000113971,4236,False
ENSG00000166762,11851,False
ENSG00000128891,6050,False
ENSG00000207650,18138,False
ENSG00000117682,4742,False
ENSG00000137204,7390,False
ENSG00000187554,16005,False
ENSG00000088320,1771,False
ENSG00000100239,2226,False
ENSG00000104689,2940,False
ENSG00000143248,8310,False
ENSG00000169231,12461,False
ENSG00000090554,1887,False
ENSG00000119737,4943,False
ENSG00000158792,10209,False
ENSG00000114023,4240,False
ENSG00000142661,8228,False
ENSG00000118096,4768,False
ENSG00000165525,11551,False
ENSG00000127337,5880,False
ENSG00000186714,15850,False
ENSG00000174989,13668,False
ENSG00000115159,4364,False
ENSG00000186088,15713,False
ENSG00000076513,1349,False
ENSG00000161920,10591,False
ENSG00000198912,17310,False
ENSG00000197976,16986,False
ENSG00000182307,14861,False
ENSG00000136888,7326,False
ENSG00000039139,558,False
ENSG00000197579,16863,False
ENSG00000182512,14903,False
ENSG00000107566,3415,False
ENSG00000163961,11128,False
ENSG00000179046,14356,False
ENSG00000212127,18464,False
ENSG00000185215,15507,False
ENSG00000131725,6448,False
ENSG00000170445,12723,False
ENSG00000143199,8303,False
ENSG00000164933,11412,False
ENSG00000163739,11054,False
ENSG00000169851,12587,False
ENSG00000081818,1548,False
ENSG00000177335,14077,False
ENSG00000165810,11623,False
ENSG00000137100,7370,False
ENSG00000197217,16766,False
ENSG00000100325,2262,False
ENSG00000141232,8039,False
ENSG00000133121,6686,False
ENSG00000183324,15083,False
ENSG00000059691,804,False
ENSG00000077420,1387,False
ENSG00000122507,5257,False
ENSG00000204427,17642,False
ENSG00000119638,4916,False
ENSG00000173818,13467,False
ENSG00000103502,2822,False
ENSG00000232013,19919,False
ENSG00000197415,16818,False
ENSG00000120915,5103,False
ENSG00000198663,17181,False
ENSG00000101220,2470,False
ENSG00000105088,3024,False
ENSG00000107902,3458,False
ENSG00000204822,17759,False
ENSG00000109819,3700,False
ENSG00000075415,1311,False
ENSG00000072041,1173,False
ENSG00000168056,12187,False
ENSG00000145907,8724,False
ENSG00000182985,15005,False
ENSG00000169184,12444,False
ENSG00000113389,4171,False
ENSG00000180447,14568,False
ENSG00000137726,7479,False
ENSG00000169972,12622,False
ENSG00000132507,6566,False
ENSG00000120756,5082,False
ENSG00000135473,7051,False
ENSG00000130592,6266,False
ENSG00000205758,17939,False
ENSG00000117640,4738,False
ENSG00000227057,19745,False
ENSG00000159217,10266,False
